[2018-12-09 10:12:55] grav.CRITICAL: Unable to write in the cache directory (/var/www/html/cache/twig/08). - Trace: #0 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(457): Twig_Cache_Filesystem->write('/var/www/html/c...', '<?php\n\n/* error...') #1 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(363): Twig_Environment->loadTemplate('error.html.twig') #2 /var/www/html/system/src/Grav/Common/Twig/Twig.php(380): Twig_Environment->render('error.html.twig', Array) #3 /var/www/html/system/src/Grav/Common/Service/OutputServiceProvider.php(27): Grav\Common\Twig\Twig->processSite('html') #4 /var/www/html/vendor/pimple/pimple/src/Pimple/Container.php(118): Grav\Common\Service\OutputServiceProvider->Grav\Common\Service\{closure}(Object(Grav\Common\Grav)) #5 /var/www/html/system/src/Grav/Common/Processors/RenderProcessor.php(19): Pimple\Container->offsetGet('output') #6 /var/www/html/system/src/Grav/Common/Grav.php(131): Grav\Common\Processors\RenderProcessor->process() #7 /var/www/html/system/src/Grav/Common/Grav.php(370): Grav\Common\Grav->Grav\Common\{closure}() #8 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('render', 'Render', Object(Closure)) #9 /var/www/html/system/src/Grav/Common/Grav.php(346): call_user_func_array(Object(Closure), Array) #10 /var/www/html/system/src/Grav/Common/Grav.php(132): Grav\Common\Grav->__call('measureTime', Array) #11 /var/www/html/index.php(54): Grav\Common\Grav->process() #12 {main} [] []
[2018-12-09 10:19:13] grav.CRITICAL: Unable to write in the cache directory (/var/www/html/cache/twig/08). - Trace: #0 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(457): Twig_Cache_Filesystem->write('/var/www/html/c...', '<?php\n\n/* error...') #1 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(363): Twig_Environment->loadTemplate('error.html.twig') #2 /var/www/html/system/src/Grav/Common/Twig/Twig.php(380): Twig_Environment->render('error.html.twig', Array) #3 /var/www/html/system/src/Grav/Common/Service/OutputServiceProvider.php(27): Grav\Common\Twig\Twig->processSite('html') #4 /var/www/html/vendor/pimple/pimple/src/Pimple/Container.php(118): Grav\Common\Service\OutputServiceProvider->Grav\Common\Service\{closure}(Object(Grav\Common\Grav)) #5 /var/www/html/system/src/Grav/Common/Processors/RenderProcessor.php(19): Pimple\Container->offsetGet('output') #6 /var/www/html/system/src/Grav/Common/Grav.php(131): Grav\Common\Processors\RenderProcessor->process() #7 /var/www/html/system/src/Grav/Common/Grav.php(370): Grav\Common\Grav->Grav\Common\{closure}() #8 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('render', 'Render', Object(Closure)) #9 /var/www/html/system/src/Grav/Common/Grav.php(346): call_user_func_array(Object(Closure), Array) #10 /var/www/html/system/src/Grav/Common/Grav.php(132): Grav\Common\Grav->__call('measureTime', Array) #11 /var/www/html/index.php(54): Grav\Common\Grav->process() #12 {main} [] []
[2018-12-09 10:25:05] grav.CRITICAL: Unable to write in the cache directory (/var/www/html/cache/twig/08). - Trace: #0 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(457): Twig_Cache_Filesystem->write('/var/www/html/c...', '<?php\n\n/* error...') #1 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(363): Twig_Environment->loadTemplate('error.html.twig') #2 /var/www/html/system/src/Grav/Common/Twig/Twig.php(380): Twig_Environment->render('error.html.twig', Array) #3 /var/www/html/system/src/Grav/Common/Service/OutputServiceProvider.php(27): Grav\Common\Twig\Twig->processSite('html') #4 /var/www/html/vendor/pimple/pimple/src/Pimple/Container.php(118): Grav\Common\Service\OutputServiceProvider->Grav\Common\Service\{closure}(Object(Grav\Common\Grav)) #5 /var/www/html/system/src/Grav/Common/Processors/RenderProcessor.php(19): Pimple\Container->offsetGet('output') #6 /var/www/html/system/src/Grav/Common/Grav.php(131): Grav\Common\Processors\RenderProcessor->process() #7 /var/www/html/system/src/Grav/Common/Grav.php(370): Grav\Common\Grav->Grav\Common\{closure}() #8 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('render', 'Render', Object(Closure)) #9 /var/www/html/system/src/Grav/Common/Grav.php(346): call_user_func_array(Object(Closure), Array) #10 /var/www/html/system/src/Grav/Common/Grav.php(132): Grav\Common\Grav->__call('measureTime', Array) #11 /var/www/html/index.php(54): Grav\Common\Grav->process() #12 {main} [] []
[2018-12-09 10:31:05] grav.CRITICAL: Unable to write in the cache directory (/var/www/html/cache/twig/08). - Trace: #0 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(457): Twig_Cache_Filesystem->write('/var/www/html/c...', '<?php\n\n/* error...') #1 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(363): Twig_Environment->loadTemplate('error.html.twig') #2 /var/www/html/system/src/Grav/Common/Twig/Twig.php(380): Twig_Environment->render('error.html.twig', Array) #3 /var/www/html/system/src/Grav/Common/Service/OutputServiceProvider.php(27): Grav\Common\Twig\Twig->processSite('html') #4 /var/www/html/vendor/pimple/pimple/src/Pimple/Container.php(118): Grav\Common\Service\OutputServiceProvider->Grav\Common\Service\{closure}(Object(Grav\Common\Grav)) #5 /var/www/html/system/src/Grav/Common/Processors/RenderProcessor.php(19): Pimple\Container->offsetGet('output') #6 /var/www/html/system/src/Grav/Common/Grav.php(131): Grav\Common\Processors\RenderProcessor->process() #7 /var/www/html/system/src/Grav/Common/Grav.php(370): Grav\Common\Grav->Grav\Common\{closure}() #8 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('render', 'Render', Object(Closure)) #9 /var/www/html/system/src/Grav/Common/Grav.php(346): call_user_func_array(Object(Closure), Array) #10 /var/www/html/system/src/Grav/Common/Grav.php(132): Grav\Common\Grav->__call('measureTime', Array) #11 /var/www/html/index.php(54): Grav\Common\Grav->process() #12 {main} [] []
[2018-12-09 10:37:16] grav.CRITICAL: Unable to write in the cache directory (/var/www/html/cache/twig/08). - Trace: #0 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(457): Twig_Cache_Filesystem->write('/var/www/html/c...', '<?php\n\n/* error...') #1 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(363): Twig_Environment->loadTemplate('error.html.twig') #2 /var/www/html/system/src/Grav/Common/Twig/Twig.php(380): Twig_Environment->render('error.html.twig', Array) #3 /var/www/html/system/src/Grav/Common/Service/OutputServiceProvider.php(27): Grav\Common\Twig\Twig->processSite('html') #4 /var/www/html/vendor/pimple/pimple/src/Pimple/Container.php(118): Grav\Common\Service\OutputServiceProvider->Grav\Common\Service\{closure}(Object(Grav\Common\Grav)) #5 /var/www/html/system/src/Grav/Common/Processors/RenderProcessor.php(19): Pimple\Container->offsetGet('output') #6 /var/www/html/system/src/Grav/Common/Grav.php(131): Grav\Common\Processors\RenderProcessor->process() #7 /var/www/html/system/src/Grav/Common/Grav.php(370): Grav\Common\Grav->Grav\Common\{closure}() #8 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('render', 'Render', Object(Closure)) #9 /var/www/html/system/src/Grav/Common/Grav.php(346): call_user_func_array(Object(Closure), Array) #10 /var/www/html/system/src/Grav/Common/Grav.php(132): Grav\Common\Grav->__call('measureTime', Array) #11 /var/www/html/index.php(54): Grav\Common\Grav->process() #12 {main} [] []
[2018-12-09 10:44:31] grav.CRITICAL: Unable to write in the cache directory (/var/www/html/cache/twig/08). - Trace: #0 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(457): Twig_Cache_Filesystem->write('/var/www/html/c...', '<?php\n\n/* error...') #1 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(363): Twig_Environment->loadTemplate('error.html.twig') #2 /var/www/html/system/src/Grav/Common/Twig/Twig.php(380): Twig_Environment->render('error.html.twig', Array) #3 /var/www/html/system/src/Grav/Common/Service/OutputServiceProvider.php(27): Grav\Common\Twig\Twig->processSite('html') #4 /var/www/html/vendor/pimple/pimple/src/Pimple/Container.php(118): Grav\Common\Service\OutputServiceProvider->Grav\Common\Service\{closure}(Object(Grav\Common\Grav)) #5 /var/www/html/system/src/Grav/Common/Processors/RenderProcessor.php(19): Pimple\Container->offsetGet('output') #6 /var/www/html/system/src/Grav/Common/Grav.php(131): Grav\Common\Processors\RenderProcessor->process() #7 /var/www/html/system/src/Grav/Common/Grav.php(370): Grav\Common\Grav->Grav\Common\{closure}() #8 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('render', 'Render', Object(Closure)) #9 /var/www/html/system/src/Grav/Common/Grav.php(346): call_user_func_array(Object(Closure), Array) #10 /var/www/html/system/src/Grav/Common/Grav.php(132): Grav\Common\Grav->__call('measureTime', Array) #11 /var/www/html/index.php(54): Grav\Common\Grav->process() #12 {main} [] []
[2018-12-09 10:50:36] grav.CRITICAL: Unable to write in the cache directory (/var/www/html/cache/twig/08). - Trace: #0 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(457): Twig_Cache_Filesystem->write('/var/www/html/c...', '<?php\n\n/* error...') #1 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(363): Twig_Environment->loadTemplate('error.html.twig') #2 /var/www/html/system/src/Grav/Common/Twig/Twig.php(380): Twig_Environment->render('error.html.twig', Array) #3 /var/www/html/system/src/Grav/Common/Service/OutputServiceProvider.php(27): Grav\Common\Twig\Twig->processSite('html') #4 /var/www/html/vendor/pimple/pimple/src/Pimple/Container.php(118): Grav\Common\Service\OutputServiceProvider->Grav\Common\Service\{closure}(Object(Grav\Common\Grav)) #5 /var/www/html/system/src/Grav/Common/Processors/RenderProcessor.php(19): Pimple\Container->offsetGet('output') #6 /var/www/html/system/src/Grav/Common/Grav.php(131): Grav\Common\Processors\RenderProcessor->process() #7 /var/www/html/system/src/Grav/Common/Grav.php(370): Grav\Common\Grav->Grav\Common\{closure}() #8 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('render', 'Render', Object(Closure)) #9 /var/www/html/system/src/Grav/Common/Grav.php(346): call_user_func_array(Object(Closure), Array) #10 /var/www/html/system/src/Grav/Common/Grav.php(132): Grav\Common\Grav->__call('measureTime', Array) #11 /var/www/html/index.php(54): Grav\Common\Grav->process() #12 {main} [] []
[2018-12-09 10:56:49] grav.CRITICAL: Unable to write in the cache directory (/var/www/html/cache/twig/08). - Trace: #0 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(457): Twig_Cache_Filesystem->write('/var/www/html/c...', '<?php\n\n/* error...') #1 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(363): Twig_Environment->loadTemplate('error.html.twig') #2 /var/www/html/system/src/Grav/Common/Twig/Twig.php(380): Twig_Environment->render('error.html.twig', Array) #3 /var/www/html/system/src/Grav/Common/Service/OutputServiceProvider.php(27): Grav\Common\Twig\Twig->processSite('html') #4 /var/www/html/vendor/pimple/pimple/src/Pimple/Container.php(118): Grav\Common\Service\OutputServiceProvider->Grav\Common\Service\{closure}(Object(Grav\Common\Grav)) #5 /var/www/html/system/src/Grav/Common/Processors/RenderProcessor.php(19): Pimple\Container->offsetGet('output') #6 /var/www/html/system/src/Grav/Common/Grav.php(131): Grav\Common\Processors\RenderProcessor->process() #7 /var/www/html/system/src/Grav/Common/Grav.php(370): Grav\Common\Grav->Grav\Common\{closure}() #8 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('render', 'Render', Object(Closure)) #9 /var/www/html/system/src/Grav/Common/Grav.php(346): call_user_func_array(Object(Closure), Array) #10 /var/www/html/system/src/Grav/Common/Grav.php(132): Grav\Common\Grav->__call('measureTime', Array) #11 /var/www/html/index.php(54): Grav\Common\Grav->process() #12 {main} [] []
[2018-12-09 11:03:00] grav.CRITICAL: Unable to write in the cache directory (/var/www/html/cache/twig/08). - Trace: #0 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(457): Twig_Cache_Filesystem->write('/var/www/html/c...', '<?php\n\n/* error...') #1 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(363): Twig_Environment->loadTemplate('error.html.twig') #2 /var/www/html/system/src/Grav/Common/Twig/Twig.php(380): Twig_Environment->render('error.html.twig', Array) #3 /var/www/html/system/src/Grav/Common/Service/OutputServiceProvider.php(27): Grav\Common\Twig\Twig->processSite('html') #4 /var/www/html/vendor/pimple/pimple/src/Pimple/Container.php(118): Grav\Common\Service\OutputServiceProvider->Grav\Common\Service\{closure}(Object(Grav\Common\Grav)) #5 /var/www/html/system/src/Grav/Common/Processors/RenderProcessor.php(19): Pimple\Container->offsetGet('output') #6 /var/www/html/system/src/Grav/Common/Grav.php(131): Grav\Common\Processors\RenderProcessor->process() #7 /var/www/html/system/src/Grav/Common/Grav.php(370): Grav\Common\Grav->Grav\Common\{closure}() #8 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('render', 'Render', Object(Closure)) #9 /var/www/html/system/src/Grav/Common/Grav.php(346): call_user_func_array(Object(Closure), Array) #10 /var/www/html/system/src/Grav/Common/Grav.php(132): Grav\Common\Grav->__call('measureTime', Array) #11 /var/www/html/index.php(54): Grav\Common\Grav->process() #12 {main} [] []
[2018-12-09 11:11:02] grav.CRITICAL: Unable to write in the cache directory (/var/www/html/cache/twig/08). - Trace: #0 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(457): Twig_Cache_Filesystem->write('/var/www/html/c...', '<?php\n\n/* error...') #1 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(363): Twig_Environment->loadTemplate('error.html.twig') #2 /var/www/html/system/src/Grav/Common/Twig/Twig.php(380): Twig_Environment->render('error.html.twig', Array) #3 /var/www/html/system/src/Grav/Common/Service/OutputServiceProvider.php(27): Grav\Common\Twig\Twig->processSite('html') #4 /var/www/html/vendor/pimple/pimple/src/Pimple/Container.php(118): Grav\Common\Service\OutputServiceProvider->Grav\Common\Service\{closure}(Object(Grav\Common\Grav)) #5 /var/www/html/system/src/Grav/Common/Processors/RenderProcessor.php(19): Pimple\Container->offsetGet('output') #6 /var/www/html/system/src/Grav/Common/Grav.php(131): Grav\Common\Processors\RenderProcessor->process() #7 /var/www/html/system/src/Grav/Common/Grav.php(370): Grav\Common\Grav->Grav\Common\{closure}() #8 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('render', 'Render', Object(Closure)) #9 /var/www/html/system/src/Grav/Common/Grav.php(346): call_user_func_array(Object(Closure), Array) #10 /var/www/html/system/src/Grav/Common/Grav.php(132): Grav\Common\Grav->__call('measureTime', Array) #11 /var/www/html/index.php(54): Grav\Common\Grav->process() #12 {main} [] []
[2018-12-09 11:17:26] grav.CRITICAL: Unable to write in the cache directory (/var/www/html/cache/twig/08). - Trace: #0 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(457): Twig_Cache_Filesystem->write('/var/www/html/c...', '<?php\n\n/* error...') #1 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(363): Twig_Environment->loadTemplate('error.html.twig') #2 /var/www/html/system/src/Grav/Common/Twig/Twig.php(380): Twig_Environment->render('error.html.twig', Array) #3 /var/www/html/system/src/Grav/Common/Service/OutputServiceProvider.php(27): Grav\Common\Twig\Twig->processSite('html') #4 /var/www/html/vendor/pimple/pimple/src/Pimple/Container.php(118): Grav\Common\Service\OutputServiceProvider->Grav\Common\Service\{closure}(Object(Grav\Common\Grav)) #5 /var/www/html/system/src/Grav/Common/Processors/RenderProcessor.php(19): Pimple\Container->offsetGet('output') #6 /var/www/html/system/src/Grav/Common/Grav.php(131): Grav\Common\Processors\RenderProcessor->process() #7 /var/www/html/system/src/Grav/Common/Grav.php(370): Grav\Common\Grav->Grav\Common\{closure}() #8 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('render', 'Render', Object(Closure)) #9 /var/www/html/system/src/Grav/Common/Grav.php(346): call_user_func_array(Object(Closure), Array) #10 /var/www/html/system/src/Grav/Common/Grav.php(132): Grav\Common\Grav->__call('measureTime', Array) #11 /var/www/html/index.php(54): Grav\Common\Grav->process() #12 {main} [] []
[2018-12-09 11:25:32] grav.CRITICAL: Unable to write in the cache directory (/var/www/html/cache/twig/08). - Trace: #0 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(457): Twig_Cache_Filesystem->write('/var/www/html/c...', '<?php\n\n/* error...') #1 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(363): Twig_Environment->loadTemplate('error.html.twig') #2 /var/www/html/system/src/Grav/Common/Twig/Twig.php(380): Twig_Environment->render('error.html.twig', Array) #3 /var/www/html/system/src/Grav/Common/Service/OutputServiceProvider.php(27): Grav\Common\Twig\Twig->processSite('html') #4 /var/www/html/vendor/pimple/pimple/src/Pimple/Container.php(118): Grav\Common\Service\OutputServiceProvider->Grav\Common\Service\{closure}(Object(Grav\Common\Grav)) #5 /var/www/html/system/src/Grav/Common/Processors/RenderProcessor.php(19): Pimple\Container->offsetGet('output') #6 /var/www/html/system/src/Grav/Common/Grav.php(131): Grav\Common\Processors\RenderProcessor->process() #7 /var/www/html/system/src/Grav/Common/Grav.php(370): Grav\Common\Grav->Grav\Common\{closure}() #8 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('render', 'Render', Object(Closure)) #9 /var/www/html/system/src/Grav/Common/Grav.php(346): call_user_func_array(Object(Closure), Array) #10 /var/www/html/system/src/Grav/Common/Grav.php(132): Grav\Common\Grav->__call('measureTime', Array) #11 /var/www/html/index.php(54): Grav\Common\Grav->process() #12 {main} [] []
[2018-12-09 11:30:18] grav.CRITICAL: Unable to write in the cache directory (/var/www/html/cache/twig/08). - Trace: #0 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(457): Twig_Cache_Filesystem->write('/var/www/html/c...', '<?php\n\n/* error...') #1 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(363): Twig_Environment->loadTemplate('error.html.twig') #2 /var/www/html/system/src/Grav/Common/Twig/Twig.php(380): Twig_Environment->render('error.html.twig', Array) #3 /var/www/html/system/src/Grav/Common/Service/OutputServiceProvider.php(27): Grav\Common\Twig\Twig->processSite('html') #4 /var/www/html/vendor/pimple/pimple/src/Pimple/Container.php(118): Grav\Common\Service\OutputServiceProvider->Grav\Common\Service\{closure}(Object(Grav\Common\Grav)) #5 /var/www/html/system/src/Grav/Common/Processors/RenderProcessor.php(19): Pimple\Container->offsetGet('output') #6 /var/www/html/system/src/Grav/Common/Grav.php(131): Grav\Common\Processors\RenderProcessor->process() #7 /var/www/html/system/src/Grav/Common/Grav.php(370): Grav\Common\Grav->Grav\Common\{closure}() #8 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('render', 'Render', Object(Closure)) #9 /var/www/html/system/src/Grav/Common/Grav.php(346): call_user_func_array(Object(Closure), Array) #10 /var/www/html/system/src/Grav/Common/Grav.php(132): Grav\Common\Grav->__call('measureTime', Array) #11 /var/www/html/index.php(54): Grav\Common\Grav->process() #12 {main} [] []
[2018-12-09 11:37:21] grav.CRITICAL: Unable to write in the cache directory (/var/www/html/cache/twig/08). - Trace: #0 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(457): Twig_Cache_Filesystem->write('/var/www/html/c...', '<?php\n\n/* error...') #1 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(363): Twig_Environment->loadTemplate('error.html.twig') #2 /var/www/html/system/src/Grav/Common/Twig/Twig.php(380): Twig_Environment->render('error.html.twig', Array) #3 /var/www/html/system/src/Grav/Common/Service/OutputServiceProvider.php(27): Grav\Common\Twig\Twig->processSite('html') #4 /var/www/html/vendor/pimple/pimple/src/Pimple/Container.php(118): Grav\Common\Service\OutputServiceProvider->Grav\Common\Service\{closure}(Object(Grav\Common\Grav)) #5 /var/www/html/system/src/Grav/Common/Processors/RenderProcessor.php(19): Pimple\Container->offsetGet('output') #6 /var/www/html/system/src/Grav/Common/Grav.php(131): Grav\Common\Processors\RenderProcessor->process() #7 /var/www/html/system/src/Grav/Common/Grav.php(370): Grav\Common\Grav->Grav\Common\{closure}() #8 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('render', 'Render', Object(Closure)) #9 /var/www/html/system/src/Grav/Common/Grav.php(346): call_user_func_array(Object(Closure), Array) #10 /var/www/html/system/src/Grav/Common/Grav.php(132): Grav\Common\Grav->__call('measureTime', Array) #11 /var/www/html/index.php(54): Grav\Common\Grav->process() #12 {main} [] []
[2018-12-09 11:43:47] grav.CRITICAL: Unable to write in the cache directory (/var/www/html/cache/twig/08). - Trace: #0 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(457): Twig_Cache_Filesystem->write('/var/www/html/c...', '<?php\n\n/* error...') #1 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(363): Twig_Environment->loadTemplate('error.html.twig') #2 /var/www/html/system/src/Grav/Common/Twig/Twig.php(380): Twig_Environment->render('error.html.twig', Array) #3 /var/www/html/system/src/Grav/Common/Service/OutputServiceProvider.php(27): Grav\Common\Twig\Twig->processSite('html') #4 /var/www/html/vendor/pimple/pimple/src/Pimple/Container.php(118): Grav\Common\Service\OutputServiceProvider->Grav\Common\Service\{closure}(Object(Grav\Common\Grav)) #5 /var/www/html/system/src/Grav/Common/Processors/RenderProcessor.php(19): Pimple\Container->offsetGet('output') #6 /var/www/html/system/src/Grav/Common/Grav.php(131): Grav\Common\Processors\RenderProcessor->process() #7 /var/www/html/system/src/Grav/Common/Grav.php(370): Grav\Common\Grav->Grav\Common\{closure}() #8 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('render', 'Render', Object(Closure)) #9 /var/www/html/system/src/Grav/Common/Grav.php(346): call_user_func_array(Object(Closure), Array) #10 /var/www/html/system/src/Grav/Common/Grav.php(132): Grav\Common\Grav->__call('measureTime', Array) #11 /var/www/html/index.php(54): Grav\Common\Grav->process() #12 {main} [] []
[2018-12-09 11:49:47] grav.CRITICAL: Unable to write in the cache directory (/var/www/html/cache/twig/08). - Trace: #0 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(457): Twig_Cache_Filesystem->write('/var/www/html/c...', '<?php\n\n/* error...') #1 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(363): Twig_Environment->loadTemplate('error.html.twig') #2 /var/www/html/system/src/Grav/Common/Twig/Twig.php(380): Twig_Environment->render('error.html.twig', Array) #3 /var/www/html/system/src/Grav/Common/Service/OutputServiceProvider.php(27): Grav\Common\Twig\Twig->processSite('html') #4 /var/www/html/vendor/pimple/pimple/src/Pimple/Container.php(118): Grav\Common\Service\OutputServiceProvider->Grav\Common\Service\{closure}(Object(Grav\Common\Grav)) #5 /var/www/html/system/src/Grav/Common/Processors/RenderProcessor.php(19): Pimple\Container->offsetGet('output') #6 /var/www/html/system/src/Grav/Common/Grav.php(131): Grav\Common\Processors\RenderProcessor->process() #7 /var/www/html/system/src/Grav/Common/Grav.php(370): Grav\Common\Grav->Grav\Common\{closure}() #8 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('render', 'Render', Object(Closure)) #9 /var/www/html/system/src/Grav/Common/Grav.php(346): call_user_func_array(Object(Closure), Array) #10 /var/www/html/system/src/Grav/Common/Grav.php(132): Grav\Common\Grav->__call('measureTime', Array) #11 /var/www/html/index.php(54): Grav\Common\Grav->process() #12 {main} [] []
[2018-12-09 11:56:08] grav.CRITICAL: Unable to write in the cache directory (/var/www/html/cache/twig/08). - Trace: #0 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(457): Twig_Cache_Filesystem->write('/var/www/html/c...', '<?php\n\n/* error...') #1 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(363): Twig_Environment->loadTemplate('error.html.twig') #2 /var/www/html/system/src/Grav/Common/Twig/Twig.php(380): Twig_Environment->render('error.html.twig', Array) #3 /var/www/html/system/src/Grav/Common/Service/OutputServiceProvider.php(27): Grav\Common\Twig\Twig->processSite('html') #4 /var/www/html/vendor/pimple/pimple/src/Pimple/Container.php(118): Grav\Common\Service\OutputServiceProvider->Grav\Common\Service\{closure}(Object(Grav\Common\Grav)) #5 /var/www/html/system/src/Grav/Common/Processors/RenderProcessor.php(19): Pimple\Container->offsetGet('output') #6 /var/www/html/system/src/Grav/Common/Grav.php(131): Grav\Common\Processors\RenderProcessor->process() #7 /var/www/html/system/src/Grav/Common/Grav.php(370): Grav\Common\Grav->Grav\Common\{closure}() #8 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('render', 'Render', Object(Closure)) #9 /var/www/html/system/src/Grav/Common/Grav.php(346): call_user_func_array(Object(Closure), Array) #10 /var/www/html/system/src/Grav/Common/Grav.php(132): Grav\Common\Grav->__call('measureTime', Array) #11 /var/www/html/index.php(54): Grav\Common\Grav->process() #12 {main} [] []
[2018-12-09 12:03:37] grav.CRITICAL: Unable to write in the cache directory (/var/www/html/cache/twig/08). - Trace: #0 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(457): Twig_Cache_Filesystem->write('/var/www/html/c...', '<?php\n\n/* error...') #1 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(363): Twig_Environment->loadTemplate('error.html.twig') #2 /var/www/html/system/src/Grav/Common/Twig/Twig.php(380): Twig_Environment->render('error.html.twig', Array) #3 /var/www/html/system/src/Grav/Common/Service/OutputServiceProvider.php(27): Grav\Common\Twig\Twig->processSite('html') #4 /var/www/html/vendor/pimple/pimple/src/Pimple/Container.php(118): Grav\Common\Service\OutputServiceProvider->Grav\Common\Service\{closure}(Object(Grav\Common\Grav)) #5 /var/www/html/system/src/Grav/Common/Processors/RenderProcessor.php(19): Pimple\Container->offsetGet('output') #6 /var/www/html/system/src/Grav/Common/Grav.php(131): Grav\Common\Processors\RenderProcessor->process() #7 /var/www/html/system/src/Grav/Common/Grav.php(370): Grav\Common\Grav->Grav\Common\{closure}() #8 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('render', 'Render', Object(Closure)) #9 /var/www/html/system/src/Grav/Common/Grav.php(346): call_user_func_array(Object(Closure), Array) #10 /var/www/html/system/src/Grav/Common/Grav.php(132): Grav\Common\Grav->__call('measureTime', Array) #11 /var/www/html/index.php(54): Grav\Common\Grav->process() #12 {main} [] []
[2018-12-09 12:11:40] grav.CRITICAL: Unable to write in the cache directory (/var/www/html/cache/twig/08). - Trace: #0 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(457): Twig_Cache_Filesystem->write('/var/www/html/c...', '<?php\n\n/* error...') #1 /var/www/html/vendor/twig/twig/lib/Twig/Environment.php(363): Twig_Environment->loadTemplate('error.html.twig') #2 /var/www/html/system/src/Grav/Common/Twig/Twig.php(380): Twig_Environment->render('error.html.twig', Array) #3 /var/www/html/system/src/Grav/Common/Service/OutputServiceProvider.php(27): Grav\Common\Twig\Twig->processSite('html') #4 /var/www/html/vendor/pimple/pimple/src/Pimple/Container.php(118): Grav\Common\Service\OutputServiceProvider->Grav\Common\Service\{closure}(Object(Grav\Common\Grav)) #5 /var/www/html/system/src/Grav/Common/Processors/RenderProcessor.php(19): Pimple\Container->offsetGet('output') #6 /var/www/html/system/src/Grav/Common/Grav.php(131): Grav\Common\Processors\RenderProcessor->process() #7 /var/www/html/system/src/Grav/Common/Grav.php(370): Grav\Common\Grav->Grav\Common\{closure}() #8 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('render', 'Render', Object(Closure)) #9 /var/www/html/system/src/Grav/Common/Grav.php(346): call_user_func_array(Object(Closure), Array) #10 /var/www/html/system/src/Grav/Common/Grav.php(132): Grav\Common\Grav->__call('measureTime', Array) #11 /var/www/html/index.php(54): Grav\Common\Grav->process() #12 {main} [] []
